ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;ANNEES;MOIS;IP BRUT;NBRE DE SPOTS;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2008;RTL 2                                             ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;62 140;18;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2014;FUN RADIO                                         ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;61 730;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2033;M RADIO                                           ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;17 290;15;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;535;SKYROCK PUBLIC                                    ;2044;SKYROCK BOX                                       ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;9;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;32 290;10;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2007;EUROPE 2                                          ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;18 690;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2013;RFM                                               ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;30 860;14;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;19129;NOVA                                              ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;32 900;19;
3112;CIE MEDITERRAN.DES CAFES                          ;141;NEW BUSINESS                                      ;4;BOISSONS ALIMENTAIRES                             ;41;CAFES-CHICOREES                                   ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;935248;MALONGO FRANCE INFO METEO P#                      ;2025;10;795 920;1 085;
3211;SONEPAR                                           ;7342;HULA HOOP                                         ;940;ELECTROTECH ELECTRONIQUE                          ;940;ELECTROTECHNIQUE GAMME                            ;70;INDUSTRIE                                         ;716;RMC BFM ADS                                       ;2001;RMC INFO                                          ;1360807;SONEPAR LE SUPER MOSCATO SHOW P#                  ;2025;10;384 134;87;
